Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Supervisor District,Year,Contact,Contact Info
Floyd & the Flyboys,Downtown Pomona Owners Association,08/12/2017,7:00 PM,10:00 PM,Officer Shaun Diamond Plaza,"201 W 2nd Street
Pomona, CA 91766
(34.057825, -117.751237)",1,2017,Linda Farman,909-469-1121
Carol Bach y Rita,County of Los Angeles Public Library,09/09/2017,3:00 PM,4:30 PM,Avalon Library,"215 Sumner Avenue
Avalon, CA 90704
(33.342826, -118.326975)",4,2017,Morgan Pershing,310-510-1050
Jungle Fire,Los Angeles County Department of Parks and Recreation,08/04/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pathfinder Park,"18150 E Pathfinder Road
Rowland Heights, CA 91748
(33.967888, -117.912607)",4,2016,Tim Tuyen,562-691-1624
Carolina Hoyos,La Mirada Library,07/17/2019,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,La Mirada Library,"13800 La Mirada Blvd
La Mirada, CA 90638
(33.905549, -118.011744)",4,2019,Allison Ortiz,
Mariachi Divas,City of Baldwin Park,09/13/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Corner of Ramona Blvd. & Maine Ave.,"Ramona Blvd
Baldwin Park 91706",1,2018,,
Andres Flores y Los Hijos de Jose,Lennox Park,08/08/2015,1899-12-31T13:00:00.000,1899-12-31T16:00:00.000,Lennox Park,"10828 S Condon Ave
Lennox, CA 90304
(33.937402, -118.359135)",5,2015,Michael Hamilton,310-419-6712
The Kings of 88,Downtown Pomona Owners Association,08/11/2018,1899-12-31T19:00:00.000,1899-12-31T22:00:00.000,Shaun Diamond Plaza,"202 W 2nd street
Pomona 91766
(34.057825, -117.751259)",1,2018,,
Quattrosound,Pico Rivera Library,07/29/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pico Rivera Library,"9001 Mines Avenue
Pico Rivera, CA 90660
(33.991634, -118.089376)",3,2015,Chris Warburton,562-942-7394
Stix,Parks & Recreation,07/08/2018,1899-12-31T17:00:00.000,1899-12-31T18:00:00.000,Campanella Park,"14812 Stanford Ave
Compton 90220",2,2018,,
Western Standard Time Ska Orchestra,Mortimer & Mimi Levitt Foundation,07/08/2017,7:30 PM,9:00 PM,Levitt Pavilion Los Angeles at MacArthur Park,"2230 W 6th St
LA, CA 90057
(34.060206, -118.276395)",1,2017,Sharon Yazowski,(213) 201-6109
Sgt. Peppers Beatles Tribute Band,City of Sierra Madre,07/07/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Memorial Park,"232 W Sierra Madre Blvd
Sierra Madre, CA 91024
(34.161863, -118.057864)",3,2019,Clarissa Lowe,
Sgt. Peppers Beatles Tribute Band,San Gabriel Library,07/27/2019,2:00 PM,1899-12-31T15:00:00.000,San Gabriel Library,"500 S Del Mar Ave
San Gabriel, CA 91776
(34.095579, -118.09958)",5,2019,Fiona Reimers,
Conjunto Jardin,County of Los Angeles Dept of Parks and Recreation,08/01/2017,6:30 PM,8:30 PM,Amelia Mayberry Park,"13201 E Meyer Rd
Whittier, CA 90605
(33.929237, -118.051323)",4,2017,Marisela Mena,562-944-9727
Sista Jean + CB,City of Inglewood,08/22/2015,1899-12-31T13:00:00.000,1899-12-31T16:00:00.000,Inglewood City Hall South Lawn,"1 W Manchester Blvd
Inglewood, CA 90301
(33.961741, -118.355034)",1,2015,Helen Lessick,310-412-5609
Nancy Sanchez,A Place Called Home,09/14/2019,1899-12-31T13:30:00.000,1899-12-31T17:00:00.000,The Bridge Theater @ A Place Called HOme,"2901 Central Ave
Los Angeles, CA 90011
(34.015465, -118.256283)",2,2019,Laura Mills,
Viento Callejero,Los Angeles County Departmant of Parks and Recreation - Salazar Park,08/11/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Salazar Park,"3864 Whittier Blvd
Los Angeles, CA 90023
(34.023918, -118.189997)",1,2016,Lizette Andrade,323-260-2330
Jessica Fichot,Temple City Library,08/03/2019,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,Temple City Library,"5939 Golden West Avenue
Temple City, CA 91780
(34.108497, -118.056813)",5,2019,Tommy Bui,
Mariachi Espectacular,City of Baldwin Park,07/20/2017,7:00 PM,9:00 PM,Cesar E. Chavez Amphitheater (Morgan Park),"4100 Baldwin Park Blvd
Baldwin Park, CA 91706
(34.086376, -117.964748)",1,2017,April Nava,(626) 813-5245
Andres Flores y Los Hijos de Jose,Castaic Library,09/24/2016,2:00 PM,3:00 PM,Castaic Library,"27971 Sloan Canyon Blvd
Castaic, CA 91384
(34.495148, -118.625306)",5,2016,Vickie Raymundi,661-257-7410
Michael Haggins Band,Los County Department Park of Recreations,08/17/2019,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Ladera Park,"6027 Ladera Park Ave
Loa Angeles, CA 90056
(33.986337, -118.358882)",2,2019,Andre Weeks,
Bobby Matos Afro Latin Jazz Ensemble,Los Angeles County Museum of Art,07/25/2015,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",2,2015,Claire Kim,323-857-6115
Buyepongo,Santa Clarita Shakespeare Festival,07/11/2015,1899-12-31T19:30:00.000,1899-12-31T21:30:00.000,Rivendale Site in Towsley Canyon,"24255 The Old Road
Newhall, CA 91321
(34.357175, -118.554746)",5,2015,David Stears,661-799-3378
Dawn Norfleet,Los Angeles County Museum of Art,10/23/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",5,2015,Claire Kim,323-857-6115
Mariachi Divas,Parks & Recreation,08/02/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Roosevelt Park,"7600 Graham Avenue
Los Angeles 90001
(33.970204, -118.243026)",2,2018,,
Invisible Poet Kings,Los Angeles County Department of Parks and Recreation - Richard Rioux Park,08/15/2016,6:00 PM,1899-12-31T20:00:00.000,Richard Rioux Memorial Park,"26233 W Faulkner Dr
Stevenson Ranch, CA 91381
(34.389667, -118.59447)",5,2016,Doug Newell,661-222-9536
Nutty,City of West Hollywood,08/23/2015,1899-12-31T16:00:00.000,1899-12-31T17:15:00.000,Kings Road Park,"1100 N Kings Road
West Hollywood, CA 90069
(34.090674, -118.372765)",2,2015,Michael Che,323-848-6377
Yari Moré Latin Band,City of Pomona,07/20/2019,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,City of Pomona Civic Center Plaza,"505 South Garey Avenue
Pomona, CA 91766
(34.054578, -117.75003)",1,2019,Monica Belloso,
Hodads,CIty of Gardena,10/07/2017,9:00 AM,3:00 PM,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.883775, -118.306521)",2,2017,Evette Benjamin,310-217-6175
Other Mother Brother Band,Art Share Los Angeles,10/21/2017,2:00 PM,5:00 PM,Art Share Los Angeles,"801 E 4th Place
LA, CA 90013
(34.044377, -118.236443)",1,2017,Cheyanne Sauter,(213) 687-4278
Mariachi Divas,City of Inglewood,09/14/2019,1899-12-31T11:00:00.000,1899-12-31T16:00:00.000,Inglewood City Hall,"1 W Manchester Boulevard
Inglewood, CA 90301
(33.961741, -118.355034)",2,2019,Stephanie Maldonado,
Cuicani,County of Los Angeles Public Library,08/19/2017,2:00 PM,3:00 PM,Temple City Library,"5939 Golden West Avenue
Temple City, CA 91780
(34.108497, -118.056813)",5,2017,Charmetria Marshall,626-285-2136
Arohi Ensemble,USC Pacific Asia Museum,07/19/2018,1899-12-31T19:00:00.000,1899-12-31T20:30:00.000,USC Pacific Asia Museum,"46 N Los Robles Ave
Pasadena 91101
(34.146741, -118.141447)",5,2018,,
Conjunto Jardin,LA County Parks and Recreation,07/25/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Roosevelt Park,"7600 Graham Ave
Los Angeles, CA 90001
(33.970204, -118.243026)",2,2019,Steven Rios,
Louie Cruz Beltran,City of South Pasadena,06/30/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115106, -118.147869)",5,2019,Anthony Kim,
Mariachi Divas,City of Paramount,07/14/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Paramount Park,"14400 Paramount Blvd
Paramount, CA 90723
(33.902283, -118.16008)",4,2016,Steven Coumparoules,562-220-2126
Orquesta Charangoa,City of Culver City,08/27/2017,11:45 AM,12:45 PM,Veterans Park,"4117 Overland Avenue
Culver City, CA 90230
(34.0134, -118.402106)",2,2017,Susan Obrow,310-253-6628
Mariachi Espectacular,Public Library,07/28/2018,1899-12-31T14:00:00.000,1899-12-31T15:30:00.000,Woodcrest Library,"1340 W 106th Street
Los Angeles 90044
(33.940028, -118.299854)",2,2018,,
Chuck Johnson/CJS Quartet,City of Manhattan Beach,10/22/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Josyln Community Center,"1601 Valley Drive
Manhattan Beach, CA 90266
(33.888489, -118.409509)",4,2016,Martin Betz,424-634-0857
Abdo Dagher Ensemble,Public Library,08/07/2018,1899-12-31T17:00:00.000,1899-12-31T18:00:00.000,Bell Library,"4411 GAGE AVE
BELL 90201
(33.97818, -118.1885)",1,2018,,
Mariachi Divas,El Sereno Community Arts-Community Partners,10/19/2019,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,El Sereno Dia de los Muertos Festival,"5480 Huntington Dr S
Los Angeles, CA 90032
(34.092718, -118.161344)",1,2019,Angelica De La Torre,
Conjunto Jardin,City of Culver City,08/26/2018,1899-12-31T13:30:00.000,1899-12-31T14:30:00.000,Veterans Memorial Park,"4117 Overland Avenue
Culver City 90230
(34.0134, -118.402106)",2,2018,,
Trio America,City of Santa Fe Springs,08/09/2019,1899-12-31T19:00:00.000,1899-12-31T20:00:00.000,Santa Fe Springs City Library,"11700 Telegraph Rd
Santa Fe Springs, CA 90670
(33.946492, -118.084187)",4,2019,Joyce Ryan,
Marisa Ronstadt & the Know-It-Alls,Angelo M. Iacoboni Library,08/08/2015,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Angelo M. Iacoboni Library,"4990 Clark Avenue
Lakewood, CA 90712
(33.849742, -118.133772)",1,2015,Robert Kitagawa,562-866-1770
"INCA, the Peruvian Ensemble",Santa Fe Springs City Library,07/15/2017,7:00 PM,8:30 PM,Santa Fe Springs City Library,"11700 Telegraph Rd
Santa Fe Springs, CA 90670
(33.946492, -118.084187)",4,2017,Joyce Ryan,562-868-7738
Michael Haggins Band,Parks & Recreation,07/12/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Jesse Owens park,"9651 S Western ave
Los Angeles 90047
(33.946143, -118.309002)",2,2018,,
Wildwood Highway,South Pasadena Arts Council,10/06/2016,1899-12-31T17:00:00.000,1899-12-31T18:30:00.000,South Pasadena Public Library,"1115 El Centro Street
South Pasadena, CA 91030
(34.114749, -118.154985)",5,2016,Howard Spector,310-741-7650
Big Papa and the TCB,Leland R. Weaver Library,08/01/2015,1899-12-31T13:00:00.000,1899-12-31T13:45:00.000,Leland R. Weaver Library,"4035 Tweedy Blvd
South Gate, CA 90280
(33.94375, -118.201416)",1,2015,Grisel Oquendo,323-567-8856
Red Hill Quartet,Monteith Park,08/16/2015,1899-12-31T14:30:00.000,1899-12-31T17:30:00.000,Monteith Park,"Monteith Dr
Los Angeles, CA 90043",1,2015,Kevin Murray,310-603-8307
LA Bluescasters,Pathfinder Park- LAC Parks,08/06/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Pathfinder Park,"18150 E Pathfinder Road
Rowland Heights, CA 91748
(33.967888, -117.912607)",4,2019,Timothy Tuyen,
Hodads,County of Los Angeles Dept of Parks and Recreation,08/04/2017,6:30 PM,8:30 PM,San Angelo Park,"245 S San Angelo Ave
La Puente, CA 91746
(34.049843, -118.001827)",1,2017,La Coya Pugh,(626) 333-6162
Mariachi Espectacular,los anges County Departmant of Parks and Recreation/ Salazar Park,07/27/2017,7:00 PM,9:00 PM,Salazar Park,"3864 Whittier Blvd
LA, CA 90023
(34.023918, -118.189997)",1,2017,Lizette Andrade,323260-2330
Mariachi Divas,City of Baldwin Park,07/23/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Cesar E. Chavez Amphitheater (Morgan Park),"4100 Baldwin Park Blvd
Baldwin Park, CA 91706
(34.086376, -117.964748)",5,2015,April Nava,626-813-5245 ext 302
Michael Haggins Band,Los County Department Park of Recreations,08/18/2019,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Montheith Park,"4616 S Mullen Ave
Los Angeles, CA 90043
(33.999112, -118.337648)",2,2019,Andre Weeks,
Sgt. Peppers Beatles Tribute Band,Parks & Recreation,07/20/2018,1899-12-31T18:30:00.000,1899-12-31T19:30:00.000,Dalton Park,"18867 E Armstead St
Azusa 91702
(34.118112, -117.882007)",1,2018,,
Floyd and the Flyboys,Ted Watkins Memorial Park,07/18/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Ted Watkins Park,"1335 East 103rd Street
Los Angeles, CA 90002
(33.94327, -118.251396)",2,2019,Tenesha Ware,
Viento Callejero,LAC+USC Medical Center Foundation  Inc.,08/11/2018,1899-12-31T11:00:00.000,1899-12-31T12:00:00.000,The Wellness Center,"1200 N State St
Los Angeles 90033
(34.059872, -118.210308)",1,2018,,
Chuck Johnson/CJS Ouintet,County of Los Angeles Dept of Parks and Recreation,08/20/2017,2:30 PM,5:30 PM,Monteith Park,"4616 S Mullen Avenue
LA, CA 90043
(33.999112, -118.337648)",2,2017,Kevin Murray,(323) 2986038)
Carol Bach-y-Rita,City of West Hollywood,09/16/2018,1899-12-31T17:00:00.000,1899-12-31T18:30:00.000,Kings Road Park,"1000 Kings Road
West Hollywood 90069
(34.089099, -118.371733)",3,2018,,
Buyepongo,"City of Lynwood, Recreation Department",08/06/2016,1899-12-31T19:00:00.000,8:30 PM,Burke-Ham Park,"11832 Atlantic Avenue (at Agnes Ave
Lynwood, CA 90262",2,2016,Mark Flores,310-603-0220
The Urban Renewal Project,Wallis Annenberg Center for the Performing Arts,10/08/2017,4:00 PM,5:30 PM,Promenade Terrace at the Wallis Annenberg Center for the Performing Arts,"9390 N Santa Monica Blvd
Beverly Hills, CA 90210
(34.071931, -118.401611)",3,2017,Debra Bronow,310-246-3800
Whiskey Sunday,City of Agoura Hills,10/14/2017,2:30 PM,4:30 PM,Reyes Adobe Park,"30400 Rainbow View Drive
Agoura Hills, CA 91301
(34.15622, -118.783314)",3,2017,Amy Brink,(818) 597-7300
Mariachi Divas,City of Paramount,07/10/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Paramount Park,"14400 Paramount Blvd
Paramount, CA 90723
(33.902283, -118.16008)",4,2015,Steven Coumparoules,562-220-2126
Sgt. Pepper,Parks & Recreation,08/04/2018,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Adventure County Park,"10130 Gunn Ave
Whittier 90605
(33.943007, -118.0365)",4,2018,,
Upstream,City of Culver City,08/26/2016,1899-12-31T16:30:00.000,1899-12-31T17:30:00.000,Veterans Park,"4117 Overland Avenue
Culver City, CA 90230
(34.0134, -118.402106)",2,2016,Susan Obrow,310-253-6628
Gloria Arjona,County of Los Angeles Public Library - Avalon Library,09/17/2016,11:00 AM,1899-12-31T12:00:00.000,Avalon Library,"215 Sumner Ave
Avalon, CA 90704
(33.342826, -118.326975)",4,2016,Tiffany Chow,310-510-1050
Mariachi Divas,San Pedro Property Owners' Alliance,10/28/2018,1899-12-31T15:00:00.000,1899-12-31T21:00:00.000,World Stage,"398 W 6th Street
San Pedro 90731
(33.738752, -118.285707)",4,2018,,
Mariachi Divas,City of Artesia,07/18/2018,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,A.J. Padelford Park,"11870 169th
Artesia 90701
(33.877461, -118.079886)",4,2018,,
Michael Haggins Band,LA COUNTY PARKS AND REC - JESSE OWENS PARK,07/11/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Jesse Owens park,"9651 S Western ave
Los Angeles, CA 90047
(33.946143, -118.309002)",2,2019,Reggie Hamilton,
Yari Moré Latin Band,City of Baldwin Park,07/07/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Cesar E. Chavez Amphitheater (Morgan Park),"4100 Baldwin Park Blvd
Baldwin Park 91706
(34.086376, -117.964748)",1,2016,April Nava,626-813-5245
Opa Opa,City of South Pasadena - Community Services Department,08/06/2017,5:00 PM,7:00 PM,Garfield Park,"1000 Park Avenue
South Pasadena, CA 91030
(34.115106, -118.147869)",5,2017,Anthony Kim,(626) 403-7382
Brasil Brazil Show,Stevenson Ranch Library,09/14/2019,2:00 PM,3:30 PM,Stevenson Ranch Library,"25950 The Old Rd
Stevenson Ranch, CA 91381
(34.392358, -118.573984)",5,2019,Arpine Eloyan,
Nichelle Monroe,Helen Keller,08/03/2019,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,Helen keller Park,"12521 Vermont Street
Los Angeles, CA 90044",2,2019,Michael Ealey,
Lisa Haley & the Zydekats,City of Torrance,07/23/2016,1899-12-31T16:00:00.000,1899-12-31T18:00:00.000,Columbia Park,"4045 190th Street
Torrance, CA 90503
(33.858295, -118.344404)",4,2016,Eve Rappoport,310-618-2380
Billy Mitchell & Circle of Friends,Los Angeles County Museum of Art,07/27/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles 90036
(34.06263, -118.357831)",3,2018,,
Filipino American Symphony Orchestra (FASO),Artesia Library,08/17/2019,2:00 PM,3:30 PM,Artesia Library,"18801 Elaine Ave
Artesia, CA 90701
(33.860453, -118.076712)",4,2019,Robert Gardner,
Susie Hanson Latin Band,City of Montebello,08/01/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Montebello City Park,"1301 West Whittier Blvd
Montebello, CA 90640
(34.011274, -118.114283)",4,2019,Crystal jaimez,
Delta Nove,Parks & Recreation,09/23/2018,1899-12-31T16:00:00.000,1899-12-31T18:00:00.000,Whittier Narrows Recreation Area,"823 Lexington Gallatin Rd
South El Monte 91733
(34.036331, -118.051912)",1,2018,,
Lisa Haley & The Zydekats,Pasadena Senior Center,08/26/2019,1899-12-31T18:00:00.000,1899-12-31T19:15:00.000,Pasadena Senior Center,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",5,2019,Marie Cantor,
Sgt. Peppers Beatles Tribute Band,Dexter Park- LAC Parks,09/28/2019,1899-12-31T16:00:00.000,7:00 PM,Pearblossom Park,"33922 121st St E
Pearblossom, CA 93553
(34.501518, -117.914056)",5,2019,Leah Ferrassoli,
Evan Brown,Tesoro Adobe Historic Park,09/03/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Tesoro Adobe Historic Park,"29350 Avenida
Valencia, CA 91354",5,2016,Amanda Falk,661-702-8953
George Sarah Ensemble,dA Center for the ARTS,08/15/2015,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,dA Center for the Arts,"252 S Main Street
Pomona, CA 91766
(34.057458, -117.752322)",1,2015,Margaret Aichele,909-397-9716
El Haru Kuroi,LA Plaza de Cultura y Artes,07/18/2015,1899-12-31T19:00:00.000,1899-12-31T20:00:00.000,LA Plaza de Cultura y Artes,"501 N Main Street
Los Angeles, CA 90012
(34.056536, -118.23941)",5,2015,Ximena Minotta Martin,213-542-6226
Boogaloo Assassins,City of Paramount,07/13/2017,6:30 PM,8:30 PM,Paramount Park,"14400 Paramount Blvd
Paramount, CA 90723
(33.902283, -118.16008)",4,2017,Steven Coumparoules,(562) 743-4156
Susie Hansen Latin Band,Carson Public Library,08/12/2017,2:00 PM,3:00 PM,Carson Public Library,"151 E Carson Street
Carson, CA 90745
(33.831676, -118.276307)",2,2017,Mercedes Santos,310-830-0901
Eric Ekstrand Ensemble,West Creek Park,09/19/2015,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,West Creek Park,"24247 Village Circle W
Saugus, CA 91354",5,2015,Leah Ferrassoli,661-775-0823
Big Papa and the TCB,Richard Rioux Park,09/05/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Richard Rioux Park,"26233 W Faulkner Drive
Stevenson Ranch, CA 91381
(34.389667, -118.59447)",2,2015,Doug Newell,661-222-9536
Jason Arimoto,County of Los Angeles Public Library,07/22/2017,2:00 PM,3:00 PM,San Gabriel Library,"500 S Del Mar Ave
San Gabriel, CA 91776
(34.095579, -118.09958)",5,2017,Fiona Reimers,626-287-0761
Incendio,Public Library,07/21/2018,1899-12-31T13:00:00.000,1899-12-31T14:00:00.000,Norwalk Library,"12350 Imperial Hwy
Norwalk 90650
(33.917078, -118.069236)",4,2018,,
Paddy's Pig,Walnut Library,09/21/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Walnut Library,"21155 La Puente Rd
CA, CA 91789
(34.025705, -117.843321)",1,2019,Nehidu Romero,
Upstream,County of Los Angeles Dept. of Parks and Recreation,07/18/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Loma Alta Park,"3330 Lincoln Ave
Altadena, CA 91001
(34.202507, -118.159163)",5,2019,Jaleesa Jamison,
Sgt. Pepper,City of Norwalk,07/20/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City of Norwalk Civic Center Lawn,"12700 Norwalk Blvd
Norwalk, CA 90650
(33.915789, -118.071839)",4,2016,Blanche Grove,562-929-5519
Zetz Klezmer Ensemble,City of West Hollywood,08/07/2016,1899-12-31T16:00:00.000,1899-12-31T17:15:00.000,Plummer Park,"7377 Santa Monica Blvd
West Hollywood, CA 90046
(34.09076, -118.350962)",3,2016,Michael Che,323-848-6377
Mariachi Espectacular,Parks & Recreation,07/06/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Amelia Mayberry Park,"13201 E Meyer Rd
Whittier 90605
(33.929237, -118.051323)",4,2018,,
Cuñao,Los Angeles Choreographers and Dancers,09/17/2017,4:00 PM,6:00 PM,CRAFTED at the Port of Los Angeles,"112 E 22nd St
San Pedro, CA 90731
(33.725899, -118.279209)",4,2017,Louise Reichlin,213-385-1171
Minyo Station,Glendale Arts,09/15/2018,1899-12-31T15:00:00.000,1899-12-31T22:00:00.000,Brand Boulevard,"216 N Brand Boulevard
Glendale 91203
(34.148787, -118.25496)",5,2018,,
Michael Haggins Band,Altadena Library District,10/13/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Main Library Branch,"600 East Mariposa Street
Altadena 91001
(34.189559, -118.137033)",5,2018,,
El-Haru Kuroi,Global Spirit 21,08/20/2016,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,The Whole Place @ First Christian Church,"6355 Greenleaf Ave
Whittier, CA 90601
(33.983017, -118.037358)",4,2016,Ted Knoll,562-652-9323
"Kings of 88, The",West Covina Community Services Foundation  Inc,07/10/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City of West Covina Civic Center Coutyard,"1444 W Garvey Ave S
West Covina, CA 91790
(34.072144, -117.938853)",1,2019,Deborah Johnston,
Mariachi Espectacular,Los Angeles County Department of Parks & Recreation - City Terrace Park,07/14/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City Terrace Park,"1126 N Hazard Ave
Los Angeles, CA 90063
(34.049422, -118.179415)",1,2016,Alice Gonzales,323-260-2371
L.A. Blue Casters,Parks & Recreation,08/18/2018,1899-12-31T14:00:00.000,1899-12-31T17:00:00.000,Ladera Park,"6027 Ladera Parks Ave
Los Angeles 90056
(33.986337, -118.358882)",2,2018,,
Cuñao,City of Cudahy,09/02/2017,6:00 PM,8:00 PM,Clara Expansion Park,"4835 Clara Street
Cudahy, CA 90201
(33.964997, -118.18132)",1,2017,Victor Santiago,(323) 282-5625
Conjunto Jardin,County of Los Angeles Dept of Parks and Recreation,09/16/2017,1:00 PM,3:00 PM,Athens Park,"12603 S Broadway
Los Angeles, CA 90061
(33.918217, -118.278296)",2,2017,Melvin Pinkney,310-603-8307
Mariachi Espectacular,LA County Depart. of Parks and Recreation,08/01/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Ruben Salazar Park,"3864 Whittier Blvd
Los Angeles, CA 90023
(34.023918, -118.189997)",1,2019,Estella Rios,
Other Mother Brother Band,Downtown Pomona Owners Association,07/13/2019,1899-12-31T19:00:00.000,1899-12-31T22:00:00.000,Shaun Diamond Plaza,"202 W 2nd Street
Pomona, CA 91766
(34.057825, -117.751259)",1,2019,Linda Farman,
De'Anza,Sorensen Library,09/27/2017,3:00 PM,4:00 PM,Sorensen Library,"6934 Broadway Ave
Whittier, CA 90606
(33.979664, -118.062738)",4,2017,Muoy Li,562-695-3979
De'Anza,Montebello Library,07/30/2016,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Montebello Library,"1550 W Beverly Blvd
Montebello, CA 90650
(34.019334, -118.115914)",1,2016,Beth Krupsaw,323-722-6551
Sgt. Peppers Beatles Tribute Band,Department of Parks and Recreation,07/10/2021,6:30pm,8:30pm,George Lane Park,"5520 W Ave
Quartz Hill, CA 93534
(34.645619, -118.227974)",5,2021,Lanisha Smith,661-722-7780
The Hodads,Department of Parks and Recreation,07/24/2021,6:30pm,8:30pm,William Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights, CA 91745
(34.002258, -117.960003)",4,2021,Margaret Foote-Trujillo,626 855-5383
Os Zagueiros,Department of Parks and Recreation,07/17/2021,6:30pm,8:30pm,Charter Oak Park,"20261 East Covina
Covina, CA 91723",5,2021,Lizette Andrade,626 339-0411
Along for the Ride,Department of Parks and Recreation,06/19/2021,6:30pm,8:30pm,Salazar Park,"3864 Whittier Blvd
Los Angeles, CA 90023
(34.023918, -118.189997)",1,2021,Erica Rascon,323 260-2330
"Inca, Peruvian Ensemble",Department of Parks and Recreation,07/17/2021,6:30pm,8:30pm,Val Verde Park,"30300 W Arlington Rd
Val Verde, CA 91384",5,2021,Darwin Lorenzo,661-257-4014
Rosalie Elena,Department of Parks and Recreation,07/31/2021,6:30pm,8:30pm,Jackie Robinson Park,"8773 East Avenue
Littlerock, CA 93543
(34.572318, -117.972294)",5,2021,Jonathan Mejia,661-944-2880
Conjunto Jardin,Department of Parks and Recreation,07/24/2021,6:30pm,8:30pm,Pamela Park,"2236 Goodall Ave
Duarte, CA 91010
(34.12347, -117.994302)",5,2021,Eseralda Fuentes,626 357-1619
Rosalie Elena,Department of Parks and Recreation,06/19/2021,6:30pm,8:30pm,Rimgrove Park,"747 Rimgrove Dr
La Puente, CA 91744
(34.031044, -117.919616)",1,2021,Abel Garnica,626 330-8798
Kotolan,Department of Parks and Recreation,07/24/2021,6:30pm,8:30pm,Belvedere Park,"4914 E Cesar Chavez Ave
Los Angeles, CA 90022
(34.04063, -118.158855)",1,2021,Anthony Brand,323 260-2342
Windy Barnes & 3’s Co,Department of Parks and Recreation,08/07/2021,6:30pm,8:30pm,George Washington Carver Park,"1400 E 118th St
Los Angeles, CA 90059
(33.926349, -118.251074)",2,2021,Gina Morrow,323-357-3030
Conganas,Department of Parks and Recreation,06/26/2021,6:30pm,8:30pm,Obregon Park,"4021 E First St
Los Angeles, CA 90063
(34.036429, -118.178366)",1,2021,Margarita Salgado,323 260-2344
Flogging Seagulls,Department of Parks and Recreation,07/10/2021,6:30pm,8:30pm,City Terrace Park,"1126 N Hazard Ave
E Los Angeles, CA 90063
(34.049422, -118.179415)",1,2021,Edgar Aldana,323 260-2371
